axis,start_idx,end_idx,start_time,end_time,duration_sec,type,magnitude_kWh
Axis #1,34842,34870,2022-10-18 08:02:39,2022-10-18 08:03:32,53,Alert,5.284101042408497
Axis #1,35620,35655,2022-10-18 08:28:46,2022-10-18 08:29:56,70,Alert,5.798126144002399
Axis #1,28258,28275,2022-10-18 04:21:51,2022-10-18 04:22:23,32,Alert,4.958029436040815
Axis #1,35144,35181,2022-10-18 08:12:46,2022-10-18 08:14:00,74,Alert,5.268570492497449
Axis #1,10955,10969,2022-10-17 18:39:36,2022-10-17 18:40:07,31,Alert,5.487695698047522
Axis #1,17120,17135,2022-10-17 22:07:29,2022-10-17 22:08:01,32,Alert,5.495479468903137
Axis #1,15145,15173,2022-10-17 21:01:14,2022-10-17 21:02:11,57,Error,9.311745700554816
Axis #1,28564,28586,2022-10-18 04:32:05,2022-10-18 04:32:51,46,Alert,6.339304012354777
Axis #1,15259,15294,2022-10-17 21:05:02,2022-10-17 21:06:12,70,Alert,6.272174396362527
Axis #1,1877,1921,2022-10-17 13:33:35,2022-10-17 13:35:01,86,Error,12.664174701178121
Axis #1,26340,26378,2022-10-18 03:17:32,2022-10-18 03:18:48,76,Alert,5.457880212054799
Axis #1,3307,3321,2022-10-17 14:21:41,2022-10-17 14:22:07,26,Alert,5.8174192107465865
Axis #1,37989,38003,2022-10-18 09:48:23,2022-10-18 09:48:49,26,Alert,4.326383692695895
Axis #1,32866,32883,2022-10-18 06:56:07,2022-10-18 06:56:39,32,Error,10.103501988845624
Axis #1,26958,26972,2022-10-18 03:38:15,2022-10-18 03:38:45,30,Alert,4.677117053378088
Axis #1,28199,28231,2022-10-18 04:19:52,2022-10-18 04:20:56,64,Alert,5.597492375121488
Axis #1,20752,20796,2022-10-18 00:09:44,2022-10-18 00:11:11,87,Error,12.05881172787002
Axis #1,35638,35671,2022-10-18 08:29:20,2022-10-18 08:30:26,66,Alert,6.442188876050188
Axis #1,32444,32488,2022-10-18 06:41:59,2022-10-18 06:43:27,88,Alert,4.512514830110476
Axis #1,7589,7633,2022-10-17 16:46:16,2022-10-17 16:47:43,87,Alert,4.798626034466836
Axis #1,2054,2091,2022-10-17 13:39:32,2022-10-17 13:40:46,74,Alert,4.891756205842692
Axis #1,18347,18362,2022-10-17 22:48:44,2022-10-17 22:49:17,33,Error,10.039766931582378
Axis #1,1597,1622,2022-10-17 13:24:13,2022-10-17 13:25:04,51,Error,10.76858974713486
Axis #1,9678,9707,2022-10-17 17:56:36,2022-10-17 17:57:35,59,Error,11.827480429067222
Axis #1,16722,16737,2022-10-17 21:54:12,2022-10-17 21:54:40,28,Alert,4.477802136387801
Axis #1,11323,11351,2022-10-17 18:52:01,2022-10-17 18:52:58,57,Error,8.975422369219348
Axis #1,14922,14956,2022-10-17 20:53:44,2022-10-17 20:54:52,68,Alert,5.924034948151023
Axis #1,29437,29478,2022-10-18 05:01:18,2022-10-18 05:02:43,85,Alert,5.036033685578843
Axis #1,6239,6258,2022-10-17 16:01:13,2022-10-17 16:01:48,35,Error,9.796302058223096
Axis #1,19042,19076,2022-10-17 23:12:08,2022-10-17 23:13:16,68,Error,8.676163428822798
Axis #1,33968,33987,2022-10-18 07:33:11,2022-10-18 07:33:50,39,Error,11.438119556420435
Axis #1,16139,16162,2022-10-17 21:34:43,2022-10-17 21:35:26,43,Alert,6.375134369086259
Axis #1,3776,3810,2022-10-17 14:37:25,2022-10-17 14:38:37,72,Alert,5.060367240447241
Axis #1,4083,4126,2022-10-17 14:47:47,2022-10-17 14:49:13,86,Error,12.053129902264365
Axis #1,6280,6304,2022-10-17 16:02:33,2022-10-17 16:03:23,50,Alert,5.222295427345104
Axis #1,37837,37863,2022-10-18 09:43:15,2022-10-18 09:44:08,53,Alert,5.36243616601361
Axis #1,20961,21003,2022-10-18 00:16:43,2022-10-18 00:18:06,83,Error,12.401946218491684
Axis #1,26585,26621,2022-10-18 03:25:46,2022-10-18 03:26:58,72,Alert,4.819399982501231
Axis #1,15777,15812,2022-10-17 21:22:29,2022-10-17 21:23:43,74,Alert,5.982337000075377
Axis #1,38036,38064,2022-10-18 09:49:56,2022-10-18 09:50:52,56,Error,12.054849311348796
Axis #1,35690,35733,2022-10-18 08:31:06,2022-10-18 08:32:32,86,Alert,6.368417490951962
Axis #1,20353,20390,2022-10-17 23:56:16,2022-10-17 23:57:31,75,Alert,5.901474329300467
Axis #1,37600,37627,2022-10-18 09:35:18,2022-10-18 09:36:09,51,Alert,5.6692028579355735
Axis #1,12078,12116,2022-10-17 19:17:25,2022-10-17 19:18:45,80,Alert,6.309194790365015
Axis #1,13255,13284,2022-10-17 19:57:01,2022-10-17 19:58:00,59,Alert,5.2396082769447565
Axis #1,36735,36769,2022-10-18 09:06:11,2022-10-18 09:07:20,69,Alert,4.539049384391508
Axis #1,16614,16630,2022-10-17 21:50:33,2022-10-17 21:51:06,33,Alert,6.238451169385361
Axis #1,13134,13173,2022-10-17 19:52:56,2022-10-17 19:54:14,78,Alert,5.204220756915633
Axis #1,27393,27421,2022-10-18 03:52:51,2022-10-18 03:53:48,57,Alert,5.452907923486435
Axis #1,28155,28181,2022-10-18 04:18:21,2022-10-18 04:19:13,52,Alert,4.612084074818041
Axis #1,28737,28776,2022-10-18 04:37:57,2022-10-18 04:39:15,78,Error,12.397546424089631
Axis #1,28040,28060,2022-10-18 04:14:32,2022-10-18 04:15:10,38,Error,12.336481817032112
Axis #1,27510,27525,2022-10-18 03:56:42,2022-10-18 03:57:14,32,Alert,6.168729802694502
Axis #1,34901,34917,2022-10-18 08:04:34,2022-10-18 08:05:08,34,Alert,6.170648677354247
Axis #1,23312,23348,2022-10-18 01:35:37,2022-10-18 01:36:49,72,Alert,4.750328562015307
Axis #1,30897,30934,2022-10-18 05:50:10,2022-10-18 05:51:22,72,Alert,6.146956106999748
Axis #1,23898,23913,2022-10-18 01:55:24,2022-10-18 01:55:52,28,Error,11.9514079309818
Axis #1,3689,3711,2022-10-17 14:34:33,2022-10-17 14:35:14,41,Error,11.519240230902977
Axis #1,8728,8745,2022-10-17 17:24:47,2022-10-17 17:25:19,32,Alert,4.670876852647637
Axis #1,14786,14819,2022-10-17 20:49:06,2022-10-17 20:50:12,66,Error,10.608802109730572
Axis #1,26228,26245,2022-10-18 03:13:44,2022-10-18 03:14:20,36,Error,11.681885388145261
Axis #1,3649,3674,2022-10-17 14:33:09,2022-10-17 14:34:00,51,Alert,5.007689622832646
Axis #1,18966,18995,2022-10-17 23:09:35,2022-10-17 23:10:35,60,Error,10.131126697414665
Axis #1,29379,29423,2022-10-18 04:59:26,2022-10-18 05:00:52,86,Alert,6.1354054689963995
Axis #1,9343,9372,2022-10-17 17:45:23,2022-10-17 17:46:21,58,Alert,5.690216103819672
Axis #1,14927,14970,2022-10-17 20:53:53,2022-10-17 20:55:19,86,Alert,4.965757606685485
Axis #1,39130,39171,2022-10-18 10:26:45,2022-10-18 10:28:11,86,Alert,5.685131538845096
Axis #1,37034,37076,2022-10-18 09:16:14,2022-10-18 09:17:37,83,Alert,6.445775206201487
Axis #1,3567,3609,2022-10-17 14:30:25,2022-10-17 14:31:49,84,Error,11.760442787285736
Axis #1,22989,23017,2022-10-18 01:24:44,2022-10-18 01:25:41,57,Alert,4.763273584310403
Axis #1,38958,38978,2022-10-18 10:20:59,2022-10-18 10:21:41,42,Alert,6.2270544899529146
Axis #1,2260,2299,2022-10-17 13:46:25,2022-10-17 13:47:43,78,Error,12.408604792259482
Axis #1,9711,9730,2022-10-17 17:57:42,2022-10-17 17:58:22,40,Error,10.256228645556691
Axis #1,6276,6313,2022-10-17 16:02:26,2022-10-17 16:03:40,74,Alert,6.426438090569507
Axis #1,4499,4526,2022-10-17 15:01:47,2022-10-17 15:02:42,55,Alert,4.618425050876378
Axis #1,27168,27193,2022-10-18 03:45:19,2022-10-18 03:46:06,47,Alert,6.36465457639758
Axis #1,36225,36248,2022-10-18 08:49:05,2022-10-18 08:49:49,44,Error,12.446791902759342
Axis #1,15303,15318,2022-10-17 21:06:34,2022-10-17 21:07:02,28,Alert,5.002840568140266
Axis #1,19507,19540,2022-10-17 23:27:49,2022-10-17 23:28:56,67,Alert,6.399915958208067
Axis #1,16564,16593,2022-10-17 21:48:55,2022-10-17 21:49:54,59,Alert,6.3463315255342785
Axis #1,13780,13796,2022-10-17 20:14:40,2022-10-17 20:15:50,70,Alert,5.681819978872618
Axis #1,28960,28988,2022-10-18 04:45:27,2022-10-18 04:46:20,53,Alert,4.804723434599798
Axis #1,24656,24678,2022-10-18 02:20:51,2022-10-18 02:21:37,46,Alert,5.662262661694997
Axis #1,25463,25505,2022-10-18 02:48:05,2022-10-18 02:49:29,84,Alert,5.085199997375507
Axis #1,15709,15740,2022-10-17 21:20:12,2022-10-17 21:21:14,62,Alert,6.030865996603845
Axis #1,28390,28422,2022-10-18 04:26:17,2022-10-18 04:27:21,64,Alert,6.424252861908843
Axis #1,35158,35182,2022-10-18 08:13:12,2022-10-18 08:14:02,50,Alert,5.962840843262477
Axis #1,25530,25560,2022-10-18 02:50:20,2022-10-18 02:51:21,61,Alert,4.62696145609122
Axis #1,19565,19600,2022-10-17 23:29:47,2022-10-17 23:30:58,71,Alert,6.072141730305761
Axis #1,29316,29331,2022-10-18 04:57:20,2022-10-18 04:57:48,28,Alert,4.519480180315386
Axis #1,4303,4339,2022-10-17 14:55:12,2022-10-17 14:56:24,72,Error,12.719649909445533
Axis #1,11481,11521,2022-10-17 18:57:21,2022-10-17 18:58:40,79,Alert,5.854336845044212
Axis #1,20718,20742,2022-10-18 00:08:35,2022-10-18 00:09:21,46,Alert,5.409165223848151
Axis #1,32094,32129,2022-10-18 06:30:13,2022-10-18 06:31:22,69,Alert,6.058638776983012
Axis #1,26065,26107,2022-10-18 03:08:16,2022-10-18 03:09:44,88,Alert,5.916735963205637
Axis #1,22924,22945,2022-10-18 01:22:33,2022-10-18 01:23:17,44,Alert,5.180938698363846
Axis #1,884,917,2022-10-17 12:54:45,2022-10-17 12:55:52,67,Alert,5.329166087885976
Axis #1,31783,31821,2022-10-18 06:19:48,2022-10-18 06:21:04,76,Error,10.312695586864786
Axis #1,19007,19039,2022-10-17 23:10:57,2022-10-17 23:12:02,65,Error,12.054490543681117
Axis #1,24195,24215,2022-10-18 02:05:22,2022-10-18 02:06:03,41,Error,12.882635295982691
Axis #1,24702,24719,2022-10-18 02:22:26,2022-10-18 02:22:58,32,Error,8.98568876395721
Axis #1,30747,30786,2022-10-18 05:45:06,2022-10-18 05:46:24,78,Alert,4.803498484938159
Axis #1,13449,13466,2022-10-17 20:03:33,2022-10-17 20:04:09,36,Alert,5.87215839377661
Axis #1,13855,13874,2022-10-17 20:17:44,2022-10-17 20:18:26,42,Alert,4.788474702864841
Axis #1,981,1011,2022-10-17 12:58:00,2022-10-17 12:59:01,61,Error,12.76144763929897
Axis #1,10087,10110,2022-10-17 18:10:23,2022-10-17 18:11:11,48,Alert,4.4245705311189285
Axis #1,13862,13876,2022-10-17 20:18:03,2022-10-17 20:18:30,27,Alert,4.816439416085073
Axis #1,13440,13481,2022-10-17 20:03:15,2022-10-17 20:04:37,82,Alert,4.651342042228059
Axis #1,246,282,2022-10-17 12:26:37,2022-10-17 12:34:30,473,Alert,5.244668152990862
Axis #1,16745,16789,2022-10-17 21:55:00,2022-10-17 21:56:27,87,Alert,5.473833708120876
Axis #1,1005,1036,2022-10-17 12:58:50,2022-10-17 12:59:53,63,Alert,5.649323784889372
Axis #1,30300,30314,2022-10-18 05:30:07,2022-10-18 05:30:33,26,Error,10.54830044378764
Axis #1,37272,37298,2022-10-18 09:24:13,2022-10-18 09:25:06,53,Error,9.250249929272384
Axis #1,19857,19879,2022-10-17 23:39:38,2022-10-17 23:40:19,41,Alert,6.03888735220397
Axis #1,29137,29173,2022-10-18 04:51:20,2022-10-18 04:52:32,72,Error,8.904935382214056
Axis #1,17159,17202,2022-10-17 22:08:46,2022-10-17 22:10:15,89,Alert,5.741817348357121
Axis #1,21048,21066,2022-10-18 00:19:38,2022-10-18 00:20:12,34,Alert,4.631290415135983
Axis #1,37312,37336,2022-10-18 09:25:37,2022-10-18 09:26:22,45,Alert,5.174348496847343
Axis #1,9063,9084,2022-10-17 17:35:59,2022-10-17 17:36:42,43,Alert,5.14306237846237
Axis #1,10330,10358,2022-10-17 18:18:35,2022-10-17 18:19:32,57,Alert,6.125397206115351
Axis #1,33451,33471,2022-10-18 07:15:45,2022-10-18 07:16:27,42,Alert,5.519189838693237
Axis #1,23878,23902,2022-10-18 01:54:41,2022-10-18 01:55:31,50,Alert,4.477694612976141
Axis #1,4043,4070,2022-10-17 14:46:27,2022-10-17 14:47:22,55,Alert,4.48383448372043
Axis #1,5143,5159,2022-10-17 15:24:01,2022-10-17 15:24:31,30,Alert,6.368620114290126
Axis #1,1377,1421,2022-10-17 13:16:54,2022-10-17 13:18:21,87,Alert,5.3025050716917805
Axis #1,1566,1582,2022-10-17 13:23:15,2022-10-17 13:23:45,30,Error,11.695530526329375
Axis #1,37049,37066,2022-10-18 09:16:42,2022-10-18 09:17:18,36,Alert,5.871167311194068
Axis #1,14279,14295,2022-10-17 20:32:04,2022-10-17 20:32:34,30,Alert,5.665700995242918
Axis #1,4617,4650,2022-10-17 15:05:46,2022-10-17 15:06:52,66,Alert,4.834621221103357
Axis #1,24181,24202,2022-10-18 02:04:51,2022-10-18 02:05:35,44,Alert,5.0219875832207
Axis #1,31311,31335,2022-10-18 06:04:03,2022-10-18 06:04:50,47,Alert,4.62539440502782
Axis #1,31318,31334,2022-10-18 06:04:17,2022-10-18 06:04:48,31,Alert,5.331975907403253
Axis #1,7203,7236,2022-10-17 16:33:24,2022-10-17 16:34:30,66,Alert,4.820630980513567
Axis #1,29060,29104,2022-10-18 04:48:47,2022-10-18 04:50:14,87,Alert,6.22995077886167
Axis #1,6265,6293,2022-10-17 16:02:05,2022-10-17 16:02:58,53,Alert,5.344851241452899
Axis #1,18870,18910,2022-10-17 23:06:23,2022-10-17 23:07:42,79,Error,10.441511997165264
Axis #1,27570,27586,2022-10-18 03:58:43,2022-10-18 03:59:17,34,Alert,4.598931469638309
Axis #1,31423,31460,2022-10-18 06:07:48,2022-10-18 06:09:01,73,Alert,4.8598531271752945
Axis #1,17914,17932,2022-10-17 22:34:11,2022-10-17 22:34:49,38,Alert,4.858078376744285
Axis #1,7161,7184,2022-10-17 16:31:56,2022-10-17 16:32:44,48,Error,9.445897099554829
Axis #1,13250,13280,2022-10-17 19:56:52,2022-10-17 19:57:52,60,Alert,6.186087056359149
Axis #1,11028,11059,2022-10-17 18:42:07,2022-10-17 18:43:05,58,Alert,4.598081680794961
Axis #1,30149,30179,2022-10-18 05:25:02,2022-10-18 05:26:02,60,Alert,4.528021019611686
Axis #1,18032,18065,2022-10-17 22:38:11,2022-10-17 22:39:17,66,Error,12.63989420289596
Axis #1,22298,22318,2022-10-18 01:01:32,2022-10-18 01:02:10,38,Alert,5.5976080555688945
Axis #1,20318,20357,2022-10-17 23:55:06,2022-10-17 23:56:24,78,Error,8.713401108485625
Axis #1,12345,12364,2022-10-17 19:26:27,2022-10-17 19:27:03,36,Alert,5.903177108527396
Axis #1,29694,29729,2022-10-18 05:09:52,2022-10-18 05:11:02,70,Error,11.108333402959438
Axis #1,21864,21902,2022-10-18 00:46:54,2022-10-18 00:48:10,76,Alert,6.202746437542199
Axis #1,16925,16945,2022-10-17 22:00:58,2022-10-17 22:01:40,42,Alert,6.043314887255023
Axis #1,28735,28756,2022-10-18 04:37:53,2022-10-18 04:38:32,39,Alert,4.375397292420114
Axis #1,332,352,2022-10-17 12:36:12,2022-10-17 12:36:50,38,Error,9.301516284931699
Axis #1,23874,23914,2022-10-18 01:54:34,2022-10-18 01:55:54,80,Alert,4.811416722929873
Axis #1,17658,17698,2022-10-17 22:25:33,2022-10-17 22:26:53,80,Alert,5.411081947011407
Axis #1,33981,34000,2022-10-18 07:33:39,2022-10-18 07:34:15,36,Error,9.022708041555376
Axis #1,17006,17042,2022-10-17 22:03:42,2022-10-17 22:04:53,71,Alert,6.027582990107237
Axis #1,13708,13740,2022-10-17 20:12:16,2022-10-17 20:13:20,64,Alert,5.851864790618091
Axis #1,25173,25214,2022-10-18 02:38:15,2022-10-18 02:39:41,86,Error,10.511740535555434
Axis #1,21462,21484,2022-10-18 00:33:28,2022-10-18 00:34:09,41,Alert,6.004331889266426
Axis #1,34338,34370,2022-10-18 07:45:39,2022-10-18 07:46:44,65,Alert,5.4003786103794145
Axis #1,4148,4162,2022-10-17 14:49:59,2022-10-17 14:50:29,30,Alert,4.636882198185269
Axis #1,24970,24998,2022-10-18 02:31:26,2022-10-18 02:32:23,57,Error,9.207006510573487
Axis #1,39553,39568,2022-10-18 10:41:02,2022-10-18 10:41:30,28,Alert,6.255674000856805
Axis #1,39622,39654,2022-10-18 10:43:21,2022-10-18 10:44:26,65,Error,10.293081282178527
Axis #1,957,981,2022-10-17 12:57:11,2022-10-17 12:58:00,49,Alert,5.379159517996753
Axis #1,139,153,2022-10-17 12:23:02,2022-10-17 12:23:29,27,Error,9.280489915909659
Axis #1,24863,24878,2022-10-18 02:27:51,2022-10-18 02:28:20,29,Alert,5.219919913332179
Axis #1,18622,18660,2022-10-17 22:58:01,2022-10-17 22:59:17,76,Alert,5.447429754425164
Axis #1,14451,14467,2022-10-17 20:37:50,2022-10-17 20:38:20,30,Alert,4.597912343635223
Axis #1,24744,24758,2022-10-18 02:23:50,2022-10-18 02:24:20,30,Alert,5.7690469630910215
Axis #1,3186,3211,2022-10-17 14:17:35,2022-10-17 14:18:26,51,Alert,4.831992779503219
Axis #1,32283,32324,2022-10-18 06:36:33,2022-10-18 06:37:55,82,Error,11.898597916624576
Axis #1,38520,38556,2022-10-18 10:06:13,2022-10-18 10:07:25,72,Error,11.433460412424072
